Territory,County,Subcounty,Brand,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,AWS
CENTRAL,NYERI,NYERI TOWN,FRYMATE,7106.5,1,0.264565727,37.92318682,1,37.92318682
CENTRAL,NYERI,OTHAYA,FRYMATE,158.5,0.022028292,0.005900748,37.92318682,0.022303525,0.845820743
CENTRAL,NYERI,TETU,FRYMATE,243,0.033922162,0.009046573,37.92318682,0.034194048,1.296747259
CENTRAL,MURANG'A,KIHARU,HOTEL SOAP,50.4,1,0.642092747,,1,
CENTRAL,NYERI,NYERI TOWN,HOTEL SOAP,28.09333333,0,0.357907253,,0.557407407,
CENTRAL,NYERI,NYERI TOWN,MEDIMIX BODYWASH,14.688,0,1,,1,
CENTRAL,KIAMBU,JUJA,MPISHI POA,24.91,0.002213665,0.001104898,41.53469221,0.003692867,0.153382095
CENTRAL,KIAMBU,THIKA TOWN,MPISHI POA,10,0,0.000443556,41.53469221,0.001482484,0.061574506
CENTRAL,KIRINYAGA,GACHOKA,MPISHI POA,75.396,0.009709245,0.003344234,41.53469221,0.011177334,0.464247148
CENTRAL,KIRINYAGA,GICHUGU,MPISHI POA,455.5175,0.066145305,0.020204746,41.53469221,0.067529729,2.804826516
CENTRAL,KIRINYAGA,KIRINYAGA CENTRAL,MPISHI POA,107.9811667,0.014547115,0.004789568,41.53469221,0.016008032,0.664888702
CENTRAL,KIRINYAGA,MWEA,MPISHI POA,675.3323333,0.098780878,0.029954762,41.53469221,0.100116921,4.1583255
CENTRAL,KIRINYAGA,NDIA,MPISHI POA,553.9511667,0.080759601,0.024570829,41.53469221,0.08212236,3.410926959
CENTRAL,MURANG'A,GATANGA,MPISHI POA,25.132,0.002246625,0.001114745,41.53469221,0.003725778,0.154749049
CENTRAL,MURANG'A,KANDARA,MPISHI POA,480.7725,0.069894876,0.021324946,41.53469221,0.071273742,2.960332932
CENTRAL,MURANG'A,KANGEMA,MPISHI POA,56.547,0.006910762,0.002508175,41.53469221,0.008383001,0.348185361
CENTRAL,MURANG'A,KIGUMO,MPISHI POA,578.036,0.08433544,0.025639126,41.53469221,0.085692898,3.559228131
CENTRAL,MURANG'A,KIHARU,MPISHI POA,485.829,0.070645607,0.02154923,41.53469221,0.07202336,2.991468081
CENTRAL,MURANG'A,MARAGWA,MPISHI POA,247.9845,0.035333196,0.010999498,41.53469221,0.036763299,1.526952315
CENTRAL,MURANG'A,MATHIOYA,MPISHI POA,760.1451667,0.111372911,0.033716685,41.53469221,0.112690286,4.680556334
CENTRAL,NYANDARUA,KINANGOP,MPISHI POA,761.2901667,0.111542907,0.033767472,41.53469221,0.11286003,4.687606614
CENTRAL,NYANDARUA,KIPIPIRI,MPISHI POA,1661.6985,0.245225161,0.073705612,41.53469221,0.246344102,10.23182647
CENTRAL,NYANDARUA,NDARAGWA,MPISHI POA,616.3155,0.090018739,0.027337036,41.53469221,0.091367771,3.794932262
CENTRAL,NYANDARUA,OL JOROK,MPISHI POA,1330.100333,0.195993286,0.058997381,41.53469221,0.197185213,8.190027132
CENTRAL,NYANDARUA,OL KALOU,MPISHI POA,543.482,0.07920526,0.024106463,41.53469221,0.080570323,3.346463582
CENTRAL,NYERI,KIENI,MPISHI POA,3316.561833,0.4909202,0.147108046,41.53469221,0.491674902,20.42156574
CENTRAL,NYERI,MATHIRA,MPISHI POA,1724.859,0.254602504,0.076507133,41.53469221,0.255707544,10.62073413
CENTRAL,NYERI,MUKURWENI,MPISHI POA,260.4805,0.037188458,0.011553765,41.53469221,0.038615811,1.603895818
CENTRAL,NYERI,NYERI TOWN,MPISHI POA,6745.4365,1,0.299197794,41.53469221,1,41.53469221
CENTRAL,NYERI,OTHAYA,MPISHI POA,500.5456667,0.072830568,0.022201997,41.53469221,0.074205082,3.082085229
CENTRAL,NYERI,TETU,MPISHI POA,546.77,0.079693424,0.024252304,41.53469221,0.081057764,3.36670928
CENTRAL,KIAMBU,GATUNDU NORTH,NDUME,4650,0.19195506,0.024352595,10.97780161,0.19195506,2.107244569
CENTRAL,KIAMBU,GATUNDU SOUTH,NDUME,0,0,0,10.97780161,0,0
